Definition1,Definition2,Definition3,Definition4,Clustal PI 
1.4121475054229933,3.2364425162689807,6.7982646420824295,1.4143167028199568,100.00
0.30081031015948234,0.3228610268077734,5.834437653048126,0.42152466367712993,15.00
0.3422198938016443,0.3640063861763707,5.9969039896622105,0.8358862144420138,15.83
0.23033648252320127,0.33926894439683863,5.851251515202939,0.6564551422319473,17.44
0.3679334373324785,0.3029280202143845,5.887976774277224,0.6493506493506498,17.30
0.23734973007032067,0.28149984044559595,5.77818858216745,0.3595505617977528,15.67
0.3247665878795818,0.30283676331817766,5.917968342265547,0.6252771618625275,17.22
0.3636487214741848,0.42936613658918965,5.937580813478566,0.6371681415929205,16.62
0.3267407583389872,0.30481093377758484,5.89910917939162,0.5853658536585362,16.92
0.38880855748611864,0.38880855748611864,5.9811162497938115,0.6636971046770599,17.01
0.4155078855973926,0.283784504697282,5.972039169900356,0.6311111111111112,17.22
0.43244154022718995,0.3008625928587687,5.947792417420173,0.5764966740576494,16.41
0.4723528484311821,0.3846335501855691,5.996475655448727,0.6341463414634143,16.67
0.4127200580123187,0.3028299481222092,5.97315961845188,0.6236080178173724,16.49
0.3946089931306531,0.2847188832405436,5.9462573447790055,0.5879732739420938,16.49
0.33834231993747643,0.27240825400341073,5.884496166091323,0.5211581291759462,17.01
0.3935539887807078,0.3276922983306516,5.961062221492013,0.6311111111111112,15.94
0.3735539887807082,0.3735539887807082,5.95313686474119,0.6355555555555563,16.71
0.2787595935111913,0.3669624601043555,5.834437653048126,0.1561822125813448,15.00
1.4058295964125556,3.849775784753364,7.114349775784754,1.4080717488789238,100.00
0.6595919258713501,0.6595919258713501,6.422604107488183,0.9015317286652085,35.03
0.4380522489858887,0.504497431710142,6.144586025287107,0.5689277899343548,34.63
0.48986595146291734,0.5779716783351638,6.192509123269085,0.670995670995671,31.72
0.37709607000851797,0.4893295155752977,6.048252074497856,0.2921348314606744,32.41
0.4208674318451813,0.4877570639522055,6.200131645892005,0.6252771618625275,32.87
0.4379284989479295,0.7051890780125181,6.1973939777898,0.615044247787611,32.18
0.42320832177886025,0.6907668502069555,6.147846002938281,0.5188470066518844,32.41
0.5290648529998201,0.7748749088657405,6.285489434005406,0.6636971046770599,32.87
0.46835143960424297,0.780851439604243,6.165896082461385,0.49777777777777743,33.56
0.5746023501612232,0.7752712464822942,6.274713832881402,0.6208425720620836,34.02
0.5922171143295394,0.8151825546862845,6.312395486681825,0.6784922394678494,33.79
